payment_id,invoice_id,amount_paid,payment_date,payment_method,reference
PAY-039,INV-039,45000,2024-05-15,UPI,REF-DGF-039
PAY-040,INV-040,195000,2024-06-05,NEFT,REF-RYH-040
PAY-041,INV-041,78000,2024-06-10,NEFT,REF-GFR-041
PAY-042,INV-042,245000,2024-07-05,RTGS,REF-PRE-042
PAY-043,INV-043,215000,2024-06-25,NEFT,REF-ACM-043
PAY-044,INV-044,175000,2024-06-18,NEFT,REF-CHN-044
PAY-045,INV-045,115000,2024-06-22,UPI,REF-APX-045
PAY-046,INV-046,490000,2024-07-30,RTGS,REF-SUN-046
PAY-047,INV-047,335000,2024-07-22,RTGS,REF-MTR-047
PAY-048,INV-048,298000,2024-07-25,RTGS,REF-BHR-048
PAY-049,INV-049,142000,2024-07-02,UPI,REF-STL-049
PAY-050,INV-050,52000,2024-06-18,UPI,REF-DGF-050
PAY-051,INV-051,68000,2024-06-20,NEFT,REF-NVT-051
PAY-052,INV-052,185000,2024-07-18,NEFT,REF-RYH-052
PAY-053,INV-053,86000,2024-07-18,NEFT,REF-GFR-053
PAY-054,INV-054,255000,2024-07-28,NEFT,REF-ACM-054
PAY-055,INV-055,270000,2024-08-15,RTGS,REF-PRE-055
PAY-056,INV-056,158000,2024-07-25,NEFT,REF-CHN-056
PAY-057,INV-057,122000,2024-07-28,UPI,REF-APX-057
PAY-058,INV-058,435000,2024-09-05,RTGS,REF-SUN-058
PAY-059,INV-059,360000,2024-08-28,RTGS,REF-MTR-059
PAY-060,INV-060,315000,2024-09-05,RTGS,REF-BHR-060
PAY-061,INV-061,155000,2024-08-15,UPI,REF-STL-061
PAY-062,INV-062,58000,2024-07-28,UPI,REF-DGF-062
PAY-063,INV-063,210000,2024-08-20,NEFT,REF-RYH-063
PAY-064,INV-064,280000,2024-08-28,NEFT,REF-ACM-064
PAY-065,INV-065,75000,2024-08-05,NEFT,REF-NVT-065
PAY-066,INV-066,95000,2024-08-28,NEFT,REF-GFR-066
PAY-067,INV-067,285000,2024-09-18,RTGS,REF-PRE-067
PAY-068,INV-068,168000,2024-08-30,NEFT,REF-CHN-068
PAY-069,INV-069,130000,2024-09-05,UPI,REF-APX-069
PAY-070,INV-070,510000,2024-10-20,RTGS,REF-SUN-070
PAY-071,INV-071,385000,2024-10-08,RTGS,REF-MTR-071
PAY-072,INV-072,342000,2024-10-10,RTGS,REF-BHR-072
PAY-073,INV-073,265000,2024-09-25,NEFT,REF-ACM-073
PAY-074,INV-074,168000,2024-09-22,UPI,REF-STL-074
PAY-075,INV-075,420000,2024-11-05,RTGS,REF-MTR-075
PAY-076,INV-076,575000,2024-12-02,RTGS,REF-SUN-076
PAY-077,INV-077,380000,2024-11-12,RTGS,REF-BHR-077
PAY-078,INV-078,295000,2024-11-02,NEFT,REF-ACM-078
PAY-079,INV-079,310000,2024-11-15,RTGS,REF-PRE-079
PAY-080,INV-080,450000,2024-12-10,RTGS,REF-MTR-080
PAY-081,INV-081,620000,2025-01-08,RTGS,REF-SUN-081
PAY-082,INV-082,395000,2024-12-20,RTGS,REF-BHR-082
PAY-083,INV-083,320000,2024-12-05,NEFT,REF-ACM-083
PAY-084,INV-084,335000,2024-12-18,RTGS,REF-PRE-084
PAY-085,INV-085,480000,2025-01-08,RTGS,REF-MTR-085
PAY-086,INV-086,540000,2025-01-28,RTGS,REF-SUN-086
PAY-087,INV-087,410000,2025-01-12,RTGS,REF-BHR-087
PAY-088,INV-088,285000,2024-12-22,NEFT,REF-ACM-088
PAY-089,INV-089,360000,2025-01-18,RTGS,REF-PRE-089
